id,task,mean_scl,stdev_scl
32,D1,1.968461473,0.377549668
32,J1,2.000130339,0.542267135
32,M1,1.866339841,0.408998257
32,P1,1.941055179,0.338094597
32,W1,1.879617351,0.408599546
33,D1,3.007830959,0.577396589
33,J1,2.634834272,0.65152355
33,M1,3.121483826,0.513385635
33,P1,3.30008762,0.65671797
33,W1,3.282605451,0.372672884
34,D1,5.827217866,1.031206228
34,J1,7.320613257,1.159633829
34,M1,6.658902983,0.548551625
34,P1,7.587175019,0.873460981
34,W1,7.684646071,0.650559944
35,D1,1.493939892,0.188316168
35,J1,1.334893791,0.133020265
35,M1,1.425438514,0.143668308
35,P1,1.495814955,0.167224677
35,W1,1.411554133,0.148209837
37,D1,4.573602909,0.392572
37,J1,3.377300728,0.177765579
37,M1,4.483810412,0.472135388
37,P1,4.085433046,0.194577971
37,W1,4.291276488,0.270058639
38,D1,1.815957006,0.615845504
38,J1,1.63249156,0.330254342
38,M1,2.024994627,0.218520484
38,P1,1.330099336,0.21172653
38,W1,2.350858754,0.281247747
39,D1,0.667705713,0.0176165
39,J1,0.712586795,0.104476303
39,M1,0.851539832,0.36785649
39,P1,1.183041136,0.306254014
39,W1,0.990640456,0.35504701
40,D1,2.214531859,0.242909866
40,J1,2.83906112,0.67057448
40,M1,2.846300196,0.522061912
40,P1,2.144127073,0.463768708
40,W1,2.667532099,0.514332781
41,D1,6.65584459,0.23251515
41,J1,5.832749573,0.259183983
41,M1,6.486860418,0.245306278
41,P1,5.570776382,0.179372243
41,W1,6.033383041,0.261237497
42,D1,6.367122106,1.24366956
42,J1,6.822519599,1.1305373
42,M1,6.639717669,0.997133991
42,P1,6.736334101,1.26128622
42,W1,6.554439354,0.777307943
43,D1,6.507382523,0.470682168
43,J1,4.259120237,0.656848084
43,M1,4.85842829,0.539382135
43,P1,5.491893808,0.358935495
43,W1,5.121333445,0.340758221
44,D1,5.504047706,0.447359655
44,J1,6.032806821,0.307243637
44,M1,5.323045683,0.444001385
44,P1,5.88612919,0.416322182
44,W1,6.239194274,0.453744736
45,D1,2.901157945,0.423455423
45,J1,2.850460597,0.913777699
45,M1,3.647874005,0.727888386
45,P1,3.388376364,0.872843195
45,W1,3.367420926,0.611464329
46,D1,7.858462859,0.683802335
46,J1,7.012440881,0.880493451
46,M1,6.791294107,0.829032993
46,P1,7.32830432,0.725810449
46,W1,7.007851846,0.726777935
47,D1,1.717816776,0.288762064
47,J1,1.863760045,0.431348286
47,M1,1.702270243,0.227792779
47,P1,1.643553858,0.207336654
47,W1,1.418243193,0.235462055
48,D1,3.126554288,0.708940962
48,J1,2.939512878,0.992618167
48,M1,2.942090948,0.820777264
48,P1,2.835586399,0.596622773
48,W1,3.384171941,1.210312356
50,D1,0.724528449,0.262524699
50,J1,0.511294421,0.126262923
50,M1,0.410138292,0.043706052
50,P1,0.544764052,0.181474095
50,W1,0.376323889,0.04587181
